The 0 round: 46 buy tx | 53 sell tx | 1 unfinished tx.
The 1 round: 52 buy tx | 49 sell tx | 0 unfinished tx.
The 2 round: 60 buy tx | 39 sell tx | 1 unfinished tx.
The 3 round: 52 buy tx | 48 sell tx | 1 unfinished tx.
The 4 round: 55 buy tx | 45 sell tx | 1 unfinished tx.
The 5 round: 54 buy tx | 46 sell tx | 1 unfinished tx.
The 6 round: 41 buy tx | 59 sell tx | 1 unfinished tx.
The 7 round: 48 buy tx | 50 sell tx | 3 unfinished tx.
The 8 round: 46 buy tx | 54 sell tx | 3 unfinished tx.
The 9 round: 34 buy tx | 66 sell tx | 3 unfinished tx.
The 10 round: 56 buy tx | 45 sell tx | 2 unfinished tx.
The 11 round: 51 buy tx | 49 sell tx | 2 unfinished tx.
The 12 round: 58 buy tx | 42 sell tx | 2 unfinished tx.
The 13 round: 48 buy tx | 52 sell tx | 2 unfinished tx.
The 14 round: 45 buy tx | 55 sell tx | 2 unfinished tx.
The 15 round: 50 buy tx | 50 sell tx | 2 unfinished tx.
The 16 round: 43 buy tx | 57 sell tx | 2 unfinished tx.
The 17 round: 48 buy tx | 52 sell tx | 2 unfinished tx.
The 18 round: 46 buy tx | 54 sell tx | 2 unfinished tx.
The 19 round: 45 buy tx | 55 sell tx | 2 unfinished tx.
The 20 round: 55 buy tx | 45 sell tx | 2 unfinished tx.
The 21 round: 52 buy tx | 48 sell tx | 2 unfinished tx.
The 22 round: 48 buy tx | 52 sell tx | 2 unfinished tx.
The 23 round: 48 buy tx | 52 sell tx | 2 unfinished tx.
The 24 round: 48 buy tx | 52 sell tx | 2 unfinished tx.
The 25 round: 57 buy tx | 43 sell tx | 2 unfinished tx.
The 26 round: 54 buy tx | 45 sell tx | 3 unfinished tx.
The 27 round: 47 buy tx | 53 sell tx | 3 unfinished tx.
The 28 round: 51 buy tx | 49 sell tx | 3 unfinished tx.
The 29 round: 55 buy tx | 44 sell tx | 4 unfinished tx.
The 30 round: 54 buy tx | 46 sell tx | 4 unfinished tx.
The 31 round: 53 buy tx | 47 sell tx | 4 unfinished tx.
The 32 round: 43 buy tx | 56 sell tx | 5 unfinished tx.
The 33 round: 58 buy tx | 44 sell tx | 3 unfinished tx.
The 34 round: 48 buy tx | 51 sell tx | 4 unfinished tx.
The 35 round: 53 buy tx | 48 sell tx | 3 unfinished tx.
The 36 round: 53 buy tx | 47 sell tx | 3 unfinished tx.
The 37 round: 48 buy tx | 52 sell tx | 3 unfinished tx.
The 38 round: 45 buy tx | 55 sell tx | 3 unfinished tx.
The 39 round: 45 buy tx | 54 sell tx | 4 unfinished tx.
The 40 round: 50 buy tx | 50 sell tx | 4 unfinished tx.
The 41 round: 47 buy tx | 53 sell tx | 4 unfinished tx.
The 42 round: 48 buy tx | 52 sell tx | 4 unfinished tx.
The 43 round: 48 buy tx | 51 sell tx | 5 unfinished tx.
The 44 round: 48 buy tx | 53 sell tx | 4 unfinished tx.
The 45 round: 49 buy tx | 51 sell tx | 4 unfinished tx.
The 46 round: 54 buy tx | 46 sell tx | 4 unfinished tx.
The 47 round: 54 buy tx | 46 sell tx | 4 unfinished tx.
The 48 round: 59 buy tx | 41 sell tx | 4 unfinished tx.
The 49 round: 46 buy tx | 54 sell tx | 4 unfinished tx.
The 50 round: 51 buy tx | 49 sell tx | 4 unfinished tx.
The 51 round: 41 buy tx | 59 sell tx | 4 unfinished tx.
The 52 round: 55 buy tx | 45 sell tx | 4 unfinished tx.
The 53 round: 53 buy tx | 44 sell tx | 7 unfinished tx.
The 54 round: 49 buy tx | 52 sell tx | 6 unfinished tx.
The 55 round: 47 buy tx | 53 sell tx | 6 unfinished tx.
The 56 round: 45 buy tx | 58 sell tx | 3 unfinished tx.
The 57 round: 47 buy tx | 52 sell tx | 4 unfinished tx.
The 58 round: 46 buy tx | 53 sell tx | 5 unfinished tx.
The 59 round: 60 buy tx | 41 sell tx | 4 unfinished tx.
The 60 round: 55 buy tx | 45 sell tx | 4 unfinished tx.
The 61 round: 55 buy tx | 45 sell tx | 4 unfinished tx.
The 62 round: 47 buy tx | 53 sell tx | 4 unfinished tx.
The 63 round: 45 buy tx | 54 sell tx | 5 unfinished tx.
The 64 round: 55 buy tx | 46 sell tx | 4 unfinished tx.
The 65 round: 48 buy tx | 52 sell tx | 4 unfinished tx.
The 66 round: 40 buy tx | 60 sell tx | 4 unfinished tx.
The 67 round: 51 buy tx | 48 sell tx | 5 unfinished tx.
The 68 round: 57 buy tx | 44 sell tx | 4 unfinished tx.
The 69 round: 61 buy tx | 39 sell tx | 4 unfinished tx.
The 70 round: 51 buy tx | 49 sell tx | 4 unfinished tx.
The 71 round: 51 buy tx | 49 sell tx | 4 unfinished tx.
The 72 round: 49 buy tx | 51 sell tx | 4 unfinished tx.
The 73 round: 50 buy tx | 50 sell tx | 4 unfinished tx.
The 74 round: 44 buy tx | 56 sell tx | 4 unfinished tx.
The 75 round: 57 buy tx | 43 sell tx | 4 unfinished tx.
The 76 round: 47 buy tx | 53 sell tx | 4 unfinished tx.
The 77 round: 45 buy tx | 53 sell tx | 6 unfinished tx.
The 78 round: 45 buy tx | 55 sell tx | 6 unfinished tx.
The 79 round: 47 buy tx | 54 sell tx | 5 unfinished tx.
The 80 round: 51 buy tx | 48 sell tx | 6 unfinished tx.
The 81 round: 55 buy tx | 46 sell tx | 5 unfinished tx.
The 82 round: 63 buy tx | 36 sell tx | 6 unfinished tx.
The 83 round: 43 buy tx | 58 sell tx | 5 unfinished tx.
The 84 round: 48 buy tx | 52 sell tx | 5 unfinished tx.
The 85 round: 51 buy tx | 50 sell tx | 4 unfinished tx.
The 86 round: 49 buy tx | 50 sell tx | 5 unfinished tx.
The 87 round: 54 buy tx | 46 sell tx | 5 unfinished tx.
The 88 round: 52 buy tx | 50 sell tx | 3 unfinished tx.
The 89 round: 49 buy tx | 51 sell tx | 3 unfinished tx.
The 90 round: 49 buy tx | 50 sell tx | 4 unfinished tx.
The 91 round: 52 buy tx | 47 sell tx | 5 unfinished tx.
The 92 round: 47 buy tx | 54 sell tx | 4 unfinished tx.
The 93 round: 53 buy tx | 47 sell tx | 4 unfinished tx.
The 94 round: 54 buy tx | 46 sell tx | 4 unfinished tx.
The 95 round: 55 buy tx | 45 sell tx | 4 unfinished tx.
The 96 round: 50 buy tx | 52 sell tx | 2 unfinished tx.
The 97 round: 49 buy tx | 51 sell tx | 2 unfinished tx.
The 98 round: 48 buy tx | 52 sell tx | 2 unfinished tx.
The 99 round: 47 buy tx | 52 sell tx | 3 unfinished tx.
The 100 round: 56 buy tx | 43 sell tx | 4 unfinished tx.
The 101 round: 49 buy tx | 51 sell tx | 4 unfinished tx.
The 102 round: 53 buy tx | 48 sell tx | 3 unfinished tx.
The 103 round: 45 buy tx | 54 sell tx | 4 unfinished tx.
The 104 round: 48 buy tx | 52 sell tx | 4 unfinished tx.
The 105 round: 46 buy tx | 54 sell tx | 4 unfinished tx.
The 106 round: 51 buy tx | 49 sell tx | 4 unfinished tx.
The 107 round: 52 buy tx | 48 sell tx | 4 unfinished tx.
The 108 round: 50 buy tx | 49 sell tx | 5 unfinished tx.
