The 0 round: 43 buy tx | 46 sell tx | 11 unfinished tx.
The 1 round: 50 buy tx | 45 sell tx | 16 unfinished tx.
The 2 round: 45 buy tx | 45 sell tx | 26 unfinished tx.
The 3 round: 52 buy tx | 49 sell tx | 25 unfinished tx.
The 4 round: 39 buy tx | 52 sell tx | 34 unfinished tx.
The 5 round: 52 buy tx | 51 sell tx | 31 unfinished tx.
The 6 round: 44 buy tx | 54 sell tx | 33 unfinished tx.
The 7 round: 47 buy tx | 47 sell tx | 39 unfinished tx.
The 8 round: 43 buy tx | 44 sell tx | 52 unfinished tx.
The 9 round: 58 buy tx | 52 sell tx | 42 unfinished tx.
The 10 round: 46 buy tx | 62 sell tx | 34 unfinished tx.
The 11 round: 53 buy tx | 47 sell tx | 34 unfinished tx.
The 12 round: 45 buy tx | 47 sell tx | 42 unfinished tx.
The 13 round: 46 buy tx | 47 sell tx | 49 unfinished tx.
The 14 round: 51 buy tx | 47 sell tx | 51 unfinished tx.
The 15 round: 49 buy tx | 54 sell tx | 48 unfinished tx.
The 16 round: 49 buy tx | 46 sell tx | 53 unfinished tx.
The 17 round: 44 buy tx | 44 sell tx | 65 unfinished tx.
The 18 round: 52 buy tx | 47 sell tx | 66 unfinished tx.
The 19 round: 42 buy tx | 49 sell tx | 75 unfinished tx.
The 20 round: 42 buy tx | 58 sell tx | 75 unfinished tx.
The 21 round: 59 buy tx | 54 sell tx | 62 unfinished tx.
The 22 round: 47 buy tx | 50 sell tx | 65 unfinished tx.
The 23 round: 48 buy tx | 54 sell tx | 63 unfinished tx.
The 24 round: 49 buy tx | 50 sell tx | 64 unfinished tx.
The 25 round: 47 buy tx | 59 sell tx | 58 unfinished tx.
The 26 round: 48 buy tx | 51 sell tx | 59 unfinished tx.
The 27 round: 49 buy tx | 44 sell tx | 66 unfinished tx.
The 28 round: 44 buy tx | 50 sell tx | 72 unfinished tx.
The 29 round: 56 buy tx | 49 sell tx | 67 unfinished tx.
The 30 round: 51 buy tx | 47 sell tx | 69 unfinished tx.
The 31 round: 47 buy tx | 49 sell tx | 73 unfinished tx.
The 32 round: 49 buy tx | 48 sell tx | 76 unfinished tx.
The 33 round: 44 buy tx | 43 sell tx | 89 unfinished tx.
The 34 round: 41 buy tx | 52 sell tx | 96 unfinished tx.
The 35 round: 31 buy tx | 47 sell tx | 118 unfinished tx.
The 36 round: 45 buy tx | 39 sell tx | 134 unfinished tx.
The 37 round: 57 buy tx | 57 sell tx | 120 unfinished tx.
The 38 round: 41 buy tx | 52 sell tx | 127 unfinished tx.
The 39 round: 51 buy tx | 48 sell tx | 128 unfinished tx.
The 40 round: 61 buy tx | 52 sell tx | 115 unfinished tx.
The 41 round: 49 buy tx | 51 sell tx | 115 unfinished tx.
The 42 round: 39 buy tx | 45 sell tx | 131 unfinished tx.
The 43 round: 50 buy tx | 49 sell tx | 132 unfinished tx.
The 44 round: 53 buy tx | 53 sell tx | 126 unfinished tx.
The 45 round: 55 buy tx | 52 sell tx | 119 unfinished tx.
The 46 round: 44 buy tx | 48 sell tx | 127 unfinished tx.
The 47 round: 49 buy tx | 50 sell tx | 128 unfinished tx.
The 48 round: 44 buy tx | 43 sell tx | 141 unfinished tx.
The 49 round: 57 buy tx | 49 sell tx | 135 unfinished tx.
The 50 round: 46 buy tx | 52 sell tx | 137 unfinished tx.
The 51 round: 51 buy tx | 45 sell tx | 141 unfinished tx.
The 52 round: 47 buy tx | 52 sell tx | 142 unfinished tx.
The 53 round: 52 buy tx | 47 sell tx | 143 unfinished tx.
The 54 round: 54 buy tx | 45 sell tx | 144 unfinished tx.
The 55 round: 41 buy tx | 48 sell tx | 155 unfinished tx.
The 56 round: 46 buy tx | 54 sell tx | 155 unfinished tx.
The 57 round: 42 buy tx | 52 sell tx | 161 unfinished tx.
The 58 round: 53 buy tx | 40 sell tx | 168 unfinished tx.
The 59 round: 52 buy tx | 58 sell tx | 158 unfinished tx.
The 60 round: 40 buy tx | 49 sell tx | 169 unfinished tx.
The 61 round: 39 buy tx | 36 sell tx | 194 unfinished tx.
The 62 round: 52 buy tx | 53 sell tx | 189 unfinished tx.
The 63 round: 52 buy tx | 52 sell tx | 185 unfinished tx.
The 64 round: 39 buy tx | 52 sell tx | 194 unfinished tx.
The 65 round: 55 buy tx | 54 sell tx | 185 unfinished tx.
The 66 round: 46 buy tx | 46 sell tx | 193 unfinished tx.
The 67 round: 43 buy tx | 52 sell tx | 198 unfinished tx.
The 68 round: 32 buy tx | 48 sell tx | 218 unfinished tx.
The 69 round: 40 buy tx | 44 sell tx | 234 unfinished tx.
The 70 round: 41 buy tx | 57 sell tx | 236 unfinished tx.
The 71 round: 47 buy tx | 45 sell tx | 244 unfinished tx.
The 72 round: 47 buy tx | 47 sell tx | 250 unfinished tx.
The 73 round: 46 buy tx | 47 sell tx | 257 unfinished tx.
The 74 round: 62 buy tx | 57 sell tx | 238 unfinished tx.
The 75 round: 69 buy tx | 49 sell tx | 220 unfinished tx.
The 76 round: 52 buy tx | 46 sell tx | 222 unfinished tx.
The 77 round: 42 buy tx | 45 sell tx | 235 unfinished tx.
The 78 round: 47 buy tx | 51 sell tx | 237 unfinished tx.
The 79 round: 47 buy tx | 42 sell tx | 248 unfinished tx.
The 80 round: 51 buy tx | 42 sell tx | 255 unfinished tx.
The 81 round: 43 buy tx | 56 sell tx | 256 unfinished tx.
The 82 round: 50 buy tx | 46 sell tx | 260 unfinished tx.
The 83 round: 53 buy tx | 53 sell tx | 254 unfinished tx.
The 84 round: 52 buy tx | 46 sell tx | 256 unfinished tx.
The 85 round: 52 buy tx | 60 sell tx | 244 unfinished tx.
The 86 round: 56 buy tx | 62 sell tx | 226 unfinished tx.
The 87 round: 52 buy tx | 63 sell tx | 211 unfinished tx.
The 88 round: 54 buy tx | 59 sell tx | 198 unfinished tx.
The 89 round: 48 buy tx | 51 sell tx | 199 unfinished tx.
The 90 round: 51 buy tx | 50 sell tx | 198 unfinished tx.
The 91 round: 51 buy tx | 43 sell tx | 204 unfinished tx.
The 92 round: 50 buy tx | 47 sell tx | 207 unfinished tx.
The 93 round: 63 buy tx | 56 sell tx | 188 unfinished tx.
The 94 round: 58 buy tx | 47 sell tx | 183 unfinished tx.
The 95 round: 56 buy tx | 48 sell tx | 179 unfinished tx.
The 96 round: 47 buy tx | 60 sell tx | 172 unfinished tx.
The 97 round: 67 buy tx | 55 sell tx | 150 unfinished tx.
The 98 round: 48 buy tx | 48 sell tx | 154 unfinished tx.
The 99 round: 45 buy tx | 48 sell tx | 161 unfinished tx.
The 100 round: 51 buy tx | 44 sell tx | 166 unfinished tx.
The 101 round: 51 buy tx | 50 sell tx | 165 unfinished tx.
The 102 round: 47 buy tx | 37 sell tx | 181 unfinished tx.
The 103 round: 44 buy tx | 45 sell tx | 192 unfinished tx.
The 104 round: 53 buy tx | 62 sell tx | 177 unfinished tx.
The 105 round: 59 buy tx | 57 sell tx | 161 unfinished tx.
The 106 round: 49 buy tx | 47 sell tx | 165 unfinished tx.
The 107 round: 49 buy tx | 43 sell tx | 173 unfinished tx.
The 108 round: 43 buy tx | 57 sell tx | 173 unfinished tx.
The 109 round: 56 buy tx | 44 sell tx | 173 unfinished tx.
The 110 round: 48 buy tx | 49 sell tx | 176 unfinished tx.
The 111 round: 52 buy tx | 40 sell tx | 184 unfinished tx.
The 112 round: 50 buy tx | 51 sell tx | 183 unfinished tx.
The 113 round: 41 buy tx | 41 sell tx | 201 unfinished tx.
The 114 round: 57 buy tx | 44 sell tx | 200 unfinished tx.
The 115 round: 34 buy tx | 48 sell tx | 218 unfinished tx.
The 116 round: 52 buy tx | 53 sell tx | 213 unfinished tx.
The 117 round: 40 buy tx | 48 sell tx | 225 unfinished tx.
The 118 round: 46 buy tx | 51 sell tx | 228 unfinished tx.
The 119 round: 49 buy tx | 43 sell tx | 236 unfinished tx.
The 120 round: 43 buy tx | 57 sell tx | 236 unfinished tx.
The 121 round: 48 buy tx | 51 sell tx | 237 unfinished tx.
The 122 round: 38 buy tx | 41 sell tx | 258 unfinished tx.
The 123 round: 46 buy tx | 60 sell tx | 252 unfinished tx.
The 124 round: 45 buy tx | 43 sell tx | 264 unfinished tx.
The 125 round: 57 buy tx | 54 sell tx | 253 unfinished tx.
The 126 round: 48 buy tx | 52 sell tx | 253 unfinished tx.
The 127 round: 52 buy tx | 58 sell tx | 243 unfinished tx.
The 128 round: 46 buy tx | 49 sell tx | 248 unfinished tx.
The 129 round: 49 buy tx | 47 sell tx | 252 unfinished tx.
The 130 round: 47 buy tx | 48 sell tx | 257 unfinished tx.
The 131 round: 35 buy tx | 51 sell tx | 271 unfinished tx.
The 132 round: 39 buy tx | 39 sell tx | 293 unfinished tx.
The 133 round: 53 buy tx | 50 sell tx | 290 unfinished tx.
The 134 round: 60 buy tx | 53 sell tx | 277 unfinished tx.
The 135 round: 48 buy tx | 47 sell tx | 282 unfinished tx.
The 136 round: 52 buy tx | 56 sell tx | 274 unfinished tx.
The 137 round: 49 buy tx | 40 sell tx | 285 unfinished tx.
The 138 round: 45 buy tx | 57 sell tx | 283 unfinished tx.
The 139 round: 41 buy tx | 44 sell tx | 298 unfinished tx.
The 140 round: 50 buy tx | 51 sell tx | 297 unfinished tx.
The 141 round: 46 buy tx | 46 sell tx | 305 unfinished tx.
The 142 round: 48 buy tx | 52 sell tx | 305 unfinished tx.
The 143 round: 49 buy tx | 42 sell tx | 314 unfinished tx.
The 144 round: 47 buy tx | 42 sell tx | 325 unfinished tx.
The 145 round: 46 buy tx | 54 sell tx | 325 unfinished tx.
The 146 round: 45 buy tx | 36 sell tx | 344 unfinished tx.
The 147 round: 52 buy tx | 53 sell tx | 339 unfinished tx.
The 148 round: 46 buy tx | 62 sell tx | 331 unfinished tx.
The 149 round: 68 buy tx | 61 sell tx | 302 unfinished tx.
The 150 round: 51 buy tx | 43 sell tx | 308 unfinished tx.
The 151 round: 54 buy tx | 62 sell tx | 292 unfinished tx.
The 152 round: 47 buy tx | 53 sell tx | 292 unfinished tx.
The 153 round: 52 buy tx | 52 sell tx | 288 unfinished tx.
The 154 round: 44 buy tx | 38 sell tx | 306 unfinished tx.
The 155 round: 53 buy tx | 53 sell tx | 300 unfinished tx.
The 156 round: 53 buy tx | 45 sell tx | 302 unfinished tx.
The 157 round: 59 buy tx | 54 sell tx | 289 unfinished tx.
The 158 round: 57 buy tx | 56 sell tx | 276 unfinished tx.
The 159 round: 56 buy tx | 48 sell tx | 272 unfinished tx.
The 160 round: 45 buy tx | 49 sell tx | 278 unfinished tx.
The 161 round: 63 buy tx | 53 sell tx | 262 unfinished tx.
The 162 round: 41 buy tx | 46 sell tx | 275 unfinished tx.
The 163 round: 62 buy tx | 58 sell tx | 255 unfinished tx.
The 164 round: 43 buy tx | 45 sell tx | 267 unfinished tx.
The 165 round: 49 buy tx | 47 sell tx | 271 unfinished tx.
The 166 round: 55 buy tx | 61 sell tx | 255 unfinished tx.
The 167 round: 52 buy tx | 51 sell tx | 252 unfinished tx.
The 168 round: 52 buy tx | 60 sell tx | 240 unfinished tx.
The 169 round: 49 buy tx | 52 sell tx | 239 unfinished tx.
The 170 round: 43 buy tx | 45 sell tx | 251 unfinished tx.
The 171 round: 44 buy tx | 41 sell tx | 266 unfinished tx.
The 172 round: 49 buy tx | 59 sell tx | 258 unfinished tx.
The 173 round: 55 buy tx | 42 sell tx | 261 unfinished tx.
The 174 round: 59 buy tx | 53 sell tx | 249 unfinished tx.
The 175 round: 47 buy tx | 59 sell tx | 243 unfinished tx.
The 176 round: 50 buy tx | 51 sell tx | 242 unfinished tx.
The 177 round: 43 buy tx | 56 sell tx | 243 unfinished tx.
The 178 round: 44 buy tx | 56 sell tx | 243 unfinished tx.
The 179 round: 49 buy tx | 51 sell tx | 243 unfinished tx.
The 180 round: 42 buy tx | 42 sell tx | 259 unfinished tx.
The 181 round: 44 buy tx | 50 sell tx | 265 unfinished tx.
The 182 round: 47 buy tx | 44 sell tx | 274 unfinished tx.
The 183 round: 42 buy tx | 50 sell tx | 282 unfinished tx.
The 184 round: 48 buy tx | 50 sell tx | 284 unfinished tx.
The 185 round: 55 buy tx | 42 sell tx | 287 unfinished tx.
The 186 round: 42 buy tx | 54 sell tx | 291 unfinished tx.
