The 0 round: 50 buy tx | 39 sell tx | 11 unfinished tx.
The 1 round: 54 buy tx | 49 sell tx | 8 unfinished tx.
The 2 round: 47 buy tx | 55 sell tx | 6 unfinished tx.
The 3 round: 44 buy tx | 43 sell tx | 19 unfinished tx.
The 4 round: 48 buy tx | 53 sell tx | 18 unfinished tx.
The 5 round: 43 buy tx | 40 sell tx | 35 unfinished tx.
The 6 round: 47 buy tx | 43 sell tx | 45 unfinished tx.
The 7 round: 50 buy tx | 45 sell tx | 50 unfinished tx.
The 8 round: 50 buy tx | 39 sell tx | 61 unfinished tx.
The 9 round: 55 buy tx | 47 sell tx | 59 unfinished tx.
The 10 round: 45 buy tx | 53 sell tx | 61 unfinished tx.
The 11 round: 57 buy tx | 55 sell tx | 49 unfinished tx.
The 12 round: 41 buy tx | 50 sell tx | 58 unfinished tx.
The 13 round: 56 buy tx | 51 sell tx | 51 unfinished tx.
The 14 round: 50 buy tx | 50 sell tx | 51 unfinished tx.
The 15 round: 55 buy tx | 43 sell tx | 53 unfinished tx.
The 16 round: 53 buy tx | 59 sell tx | 41 unfinished tx.
The 17 round: 44 buy tx | 48 sell tx | 49 unfinished tx.
The 18 round: 45 buy tx | 37 sell tx | 67 unfinished tx.
The 19 round: 54 buy tx | 47 sell tx | 66 unfinished tx.
The 20 round: 44 buy tx | 51 sell tx | 71 unfinished tx.
The 21 round: 53 buy tx | 48 sell tx | 70 unfinished tx.
The 22 round: 47 buy tx | 44 sell tx | 79 unfinished tx.
The 23 round: 46 buy tx | 48 sell tx | 85 unfinished tx.
The 24 round: 45 buy tx | 44 sell tx | 96 unfinished tx.
The 25 round: 47 buy tx | 50 sell tx | 99 unfinished tx.
The 26 round: 44 buy tx | 43 sell tx | 112 unfinished tx.
The 27 round: 50 buy tx | 49 sell tx | 113 unfinished tx.
The 28 round: 48 buy tx | 61 sell tx | 104 unfinished tx.
The 29 round: 55 buy tx | 52 sell tx | 97 unfinished tx.
The 30 round: 50 buy tx | 54 sell tx | 93 unfinished tx.
The 31 round: 53 buy tx | 52 sell tx | 88 unfinished tx.
The 32 round: 45 buy tx | 53 sell tx | 90 unfinished tx.
The 33 round: 50 buy tx | 46 sell tx | 94 unfinished tx.
The 34 round: 47 buy tx | 57 sell tx | 90 unfinished tx.
The 35 round: 47 buy tx | 45 sell tx | 98 unfinished tx.
The 36 round: 49 buy tx | 54 sell tx | 95 unfinished tx.
The 37 round: 50 buy tx | 41 sell tx | 104 unfinished tx.
The 38 round: 39 buy tx | 36 sell tx | 129 unfinished tx.
The 39 round: 47 buy tx | 47 sell tx | 135 unfinished tx.
The 40 round: 51 buy tx | 47 sell tx | 137 unfinished tx.
The 41 round: 47 buy tx | 56 sell tx | 134 unfinished tx.
The 42 round: 58 buy tx | 49 sell tx | 127 unfinished tx.
The 43 round: 52 buy tx | 38 sell tx | 137 unfinished tx.
The 44 round: 47 buy tx | 43 sell tx | 147 unfinished tx.
