The 0 round: 42 buy tx | 48 sell tx | 10 unfinished tx.
The 1 round: 50 buy tx | 42 sell tx | 18 unfinished tx.
The 2 round: 46 buy tx | 50 sell tx | 22 unfinished tx.
The 3 round: 53 buy tx | 55 sell tx | 14 unfinished tx.
The 4 round: 48 buy tx | 46 sell tx | 20 unfinished tx.
The 5 round: 42 buy tx | 52 sell tx | 26 unfinished tx.
The 6 round: 44 buy tx | 46 sell tx | 36 unfinished tx.
The 7 round: 51 buy tx | 56 sell tx | 29 unfinished tx.
The 8 round: 55 buy tx | 46 sell tx | 28 unfinished tx.
The 9 round: 44 buy tx | 52 sell tx | 32 unfinished tx.
The 10 round: 45 buy tx | 48 sell tx | 39 unfinished tx.
The 11 round: 45 buy tx | 51 sell tx | 43 unfinished tx.
The 12 round: 47 buy tx | 53 sell tx | 43 unfinished tx.
The 13 round: 53 buy tx | 38 sell tx | 52 unfinished tx.
The 14 round: 45 buy tx | 58 sell tx | 49 unfinished tx.
The 15 round: 42 buy tx | 44 sell tx | 63 unfinished tx.
The 16 round: 44 buy tx | 53 sell tx | 66 unfinished tx.
The 17 round: 52 buy tx | 50 sell tx | 64 unfinished tx.
The 18 round: 44 buy tx | 57 sell tx | 63 unfinished tx.
The 19 round: 55 buy tx | 46 sell tx | 62 unfinished tx.
The 20 round: 53 buy tx | 48 sell tx | 61 unfinished tx.
The 21 round: 56 buy tx | 44 sell tx | 61 unfinished tx.
The 22 round: 52 buy tx | 54 sell tx | 55 unfinished tx.
The 23 round: 45 buy tx | 50 sell tx | 60 unfinished tx.
The 24 round: 53 buy tx | 51 sell tx | 56 unfinished tx.
The 25 round: 42 buy tx | 47 sell tx | 67 unfinished tx.
The 26 round: 42 buy tx | 51 sell tx | 74 unfinished tx.
The 27 round: 50 buy tx | 55 sell tx | 69 unfinished tx.
The 28 round: 48 buy tx | 48 sell tx | 73 unfinished tx.
The 29 round: 47 buy tx | 39 sell tx | 87 unfinished tx.
The 30 round: 45 buy tx | 46 sell tx | 96 unfinished tx.
The 31 round: 56 buy tx | 50 sell tx | 90 unfinished tx.
The 32 round: 49 buy tx | 65 sell tx | 76 unfinished tx.
The 33 round: 57 buy tx | 47 sell tx | 72 unfinished tx.
The 34 round: 54 buy tx | 46 sell tx | 72 unfinished tx.
The 35 round: 56 buy tx | 40 sell tx | 76 unfinished tx.
The 36 round: 50 buy tx | 44 sell tx | 82 unfinished tx.
The 37 round: 43 buy tx | 57 sell tx | 82 unfinished tx.
The 38 round: 47 buy tx | 45 sell tx | 90 unfinished tx.
The 39 round: 51 buy tx | 46 sell tx | 93 unfinished tx.
The 40 round: 50 buy tx | 50 sell tx | 93 unfinished tx.
The 41 round: 51 buy tx | 41 sell tx | 101 unfinished tx.
The 42 round: 47 buy tx | 39 sell tx | 115 unfinished tx.
