The 0 round: 479 buy tx | 512 sell tx | 9 unfinished tx.
The 1 round: 500 buy tx | 490 sell tx | 19 unfinished tx.
The 2 round: 502 buy tx | 498 sell tx | 19 unfinished tx.
The 3 round: 515 buy tx | 489 sell tx | 15 unfinished tx.
The 4 round: 501 buy tx | 500 sell tx | 14 unfinished tx.
The 5 round: 490 buy tx | 507 sell tx | 17 unfinished tx.
The 6 round: 507 buy tx | 488 sell tx | 22 unfinished tx.
The 7 round: 479 buy tx | 506 sell tx | 37 unfinished tx.
The 8 round: 518 buy tx | 487 sell tx | 32 unfinished tx.
The 9 round: 493 buy tx | 499 sell tx | 40 unfinished tx.
The 10 round: 491 buy tx | 519 sell tx | 30 unfinished tx.
The 11 round: 505 buy tx | 489 sell tx | 36 unfinished tx.
The 12 round: 477 buy tx | 522 sell tx | 37 unfinished tx.
The 13 round: 506 buy tx | 485 sell tx | 46 unfinished tx.
The 14 round: 506 buy tx | 480 sell tx | 60 unfinished tx.
The 15 round: 499 buy tx | 499 sell tx | 62 unfinished tx.
The 16 round: 496 buy tx | 499 sell tx | 67 unfinished tx.
The 17 round: 508 buy tx | 488 sell tx | 71 unfinished tx.
The 18 round: 486 buy tx | 499 sell tx | 86 unfinished tx.
The 19 round: 497 buy tx | 514 sell tx | 75 unfinished tx.
The 20 round: 499 buy tx | 513 sell tx | 63 unfinished tx.
The 21 round: 523 buy tx | 488 sell tx | 52 unfinished tx.
The 22 round: 491 buy tx | 501 sell tx | 60 unfinished tx.
The 23 round: 510 buy tx | 478 sell tx | 72 unfinished tx.
The 24 round: 506 buy tx | 502 sell tx | 64 unfinished tx.
The 25 round: 513 buy tx | 493 sell tx | 58 unfinished tx.
The 26 round: 497 buy tx | 488 sell tx | 73 unfinished tx.
The 27 round: 502 buy tx | 497 sell tx | 74 unfinished tx.
The 28 round: 490 buy tx | 510 sell tx | 74 unfinished tx.
The 29 round: 506 buy tx | 489 sell tx | 79 unfinished tx.
The 30 round: 499 buy tx | 492 sell tx | 88 unfinished tx.
The 31 round: 466 buy tx | 534 sell tx | 88 unfinished tx.
The 32 round: 503 buy tx | 507 sell tx | 78 unfinished tx.
The 33 round: 534 buy tx | 472 sell tx | 72 unfinished tx.
The 34 round: 476 buy tx | 495 sell tx | 101 unfinished tx.
The 35 round: 507 buy tx | 492 sell tx | 102 unfinished tx.
The 36 round: 514 buy tx | 508 sell tx | 80 unfinished tx.
The 37 round: 517 buy tx | 481 sell tx | 82 unfinished tx.
The 38 round: 480 buy tx | 510 sell tx | 92 unfinished tx.
The 39 round: 528 buy tx | 500 sell tx | 64 unfinished tx.
The 40 round: 476 buy tx | 504 sell tx | 84 unfinished tx.
The 41 round: 506 buy tx | 497 sell tx | 81 unfinished tx.
The 42 round: 487 buy tx | 521 sell tx | 73 unfinished tx.
The 43 round: 504 buy tx | 496 sell tx | 73 unfinished tx.
The 44 round: 482 buy tx | 506 sell tx | 85 unfinished tx.
The 45 round: 472 buy tx | 520 sell tx | 93 unfinished tx.
The 46 round: 526 buy tx | 502 sell tx | 65 unfinished tx.
The 47 round: 490 buy tx | 492 sell tx | 83 unfinished tx.
The 48 round: 515 buy tx | 476 sell tx | 92 unfinished tx.
The 49 round: 477 buy tx | 513 sell tx | 102 unfinished tx.
The 50 round: 502 buy tx | 513 sell tx | 87 unfinished tx.
The 51 round: 495 buy tx | 516 sell tx | 76 unfinished tx.
The 52 round: 495 buy tx | 503 sell tx | 78 unfinished tx.
The 53 round: 475 buy tx | 522 sell tx | 81 unfinished tx.
The 54 round: 491 buy tx | 517 sell tx | 73 unfinished tx.
The 55 round: 494 buy tx | 496 sell tx | 83 unfinished tx.
The 56 round: 496 buy tx | 527 sell tx | 60 unfinished tx.
The 57 round: 502 buy tx | 501 sell tx | 57 unfinished tx.
The 58 round: 509 buy tx | 484 sell tx | 64 unfinished tx.
The 59 round: 507 buy tx | 497 sell tx | 60 unfinished tx.
