The 0 round: 51 buy tx | 49 sell tx | 0 unfinished tx.
The 1 round: 54 buy tx | 46 sell tx | 0 unfinished tx.
The 2 round: 50 buy tx | 50 sell tx | 0 unfinished tx.
The 3 round: 50 buy tx | 50 sell tx | 0 unfinished tx.
The 4 round: 44 buy tx | 56 sell tx | 0 unfinished tx.
The 5 round: 57 buy tx | 41 sell tx | 2 unfinished tx.
The 6 round: 50 buy tx | 50 sell tx | 2 unfinished tx.
The 7 round: 49 buy tx | 51 sell tx | 2 unfinished tx.
The 8 round: 45 buy tx | 55 sell tx | 2 unfinished tx.
The 9 round: 55 buy tx | 47 sell tx | 0 unfinished tx.
The 10 round: 48 buy tx | 52 sell tx | 0 unfinished tx.
The 11 round: 50 buy tx | 50 sell tx | 0 unfinished tx.
The 12 round: 48 buy tx | 52 sell tx | 0 unfinished tx.
The 13 round: 51 buy tx | 48 sell tx | 1 unfinished tx.
The 14 round: 46 buy tx | 55 sell tx | 0 unfinished tx.
The 15 round: 45 buy tx | 54 sell tx | 1 unfinished tx.
The 16 round: 53 buy tx | 48 sell tx | 0 unfinished tx.
The 17 round: 37 buy tx | 63 sell tx | 0 unfinished tx.
The 18 round: 57 buy tx | 43 sell tx | 0 unfinished tx.
The 19 round: 46 buy tx | 54 sell tx | 0 unfinished tx.
The 20 round: 41 buy tx | 59 sell tx | 0 unfinished tx.
The 21 round: 49 buy tx | 51 sell tx | 0 unfinished tx.
The 22 round: 54 buy tx | 46 sell tx | 0 unfinished tx.
The 23 round: 58 buy tx | 42 sell tx | 0 unfinished tx.
The 24 round: 52 buy tx | 48 sell tx | 0 unfinished tx.
The 25 round: 51 buy tx | 48 sell tx | 1 unfinished tx.
The 26 round: 46 buy tx | 53 sell tx | 2 unfinished tx.
The 27 round: 43 buy tx | 58 sell tx | 1 unfinished tx.
The 28 round: 51 buy tx | 49 sell tx | 1 unfinished tx.
The 29 round: 42 buy tx | 58 sell tx | 1 unfinished tx.
The 30 round: 53 buy tx | 47 sell tx | 1 unfinished tx.
The 31 round: 42 buy tx | 58 sell tx | 1 unfinished tx.
