The 0 round: 54 buy tx | 46 sell tx | 0 unfinished tx.
The 1 round: 47 buy tx | 51 sell tx | 2 unfinished tx.
The 2 round: 51 buy tx | 50 sell tx | 1 unfinished tx.
The 3 round: 46 buy tx | 54 sell tx | 1 unfinished tx.
The 4 round: 47 buy tx | 52 sell tx | 2 unfinished tx.
The 5 round: 52 buy tx | 48 sell tx | 2 unfinished tx.
The 6 round: 55 buy tx | 45 sell tx | 2 unfinished tx.
The 7 round: 50 buy tx | 51 sell tx | 1 unfinished tx.
The 8 round: 55 buy tx | 45 sell tx | 1 unfinished tx.
The 9 round: 41 buy tx | 58 sell tx | 2 unfinished tx.
The 10 round: 55 buy tx | 46 sell tx | 1 unfinished tx.
The 11 round: 48 buy tx | 52 sell tx | 1 unfinished tx.
The 12 round: 48 buy tx | 52 sell tx | 1 unfinished tx.
The 13 round: 57 buy tx | 43 sell tx | 1 unfinished tx.
The 14 round: 44 buy tx | 56 sell tx | 1 unfinished tx.
The 15 round: 49 buy tx | 51 sell tx | 1 unfinished tx.
The 16 round: 49 buy tx | 51 sell tx | 1 unfinished tx.
The 17 round: 49 buy tx | 51 sell tx | 1 unfinished tx.
The 18 round: 45 buy tx | 54 sell tx | 2 unfinished tx.
The 19 round: 56 buy tx | 44 sell tx | 2 unfinished tx.
The 20 round: 40 buy tx | 59 sell tx | 3 unfinished tx.
The 21 round: 53 buy tx | 46 sell tx | 4 unfinished tx.
The 22 round: 57 buy tx | 44 sell tx | 3 unfinished tx.
The 23 round: 53 buy tx | 49 sell tx | 1 unfinished tx.
The 24 round: 46 buy tx | 54 sell tx | 1 unfinished tx.
The 25 round: 49 buy tx | 51 sell tx | 1 unfinished tx.
The 26 round: 42 buy tx | 58 sell tx | 1 unfinished tx.
The 27 round: 54 buy tx | 46 sell tx | 1 unfinished tx.
The 28 round: 51 buy tx | 49 sell tx | 1 unfinished tx.
The 29 round: 57 buy tx | 42 sell tx | 2 unfinished tx.
The 30 round: 52 buy tx | 49 sell tx | 1 unfinished tx.
The 31 round: 42 buy tx | 57 sell tx | 2 unfinished tx.
The 32 round: 48 buy tx | 52 sell tx | 2 unfinished tx.
The 33 round: 52 buy tx | 48 sell tx | 2 unfinished tx.
The 34 round: 58 buy tx | 43 sell tx | 1 unfinished tx.
The 35 round: 48 buy tx | 52 sell tx | 1 unfinished tx.
The 36 round: 46 buy tx | 54 sell tx | 1 unfinished tx.
The 37 round: 48 buy tx | 51 sell tx | 2 unfinished tx.
The 38 round: 46 buy tx | 55 sell tx | 1 unfinished tx.
The 39 round: 48 buy tx | 52 sell tx | 1 unfinished tx.
The 40 round: 54 buy tx | 45 sell tx | 2 unfinished tx.
The 41 round: 48 buy tx | 52 sell tx | 2 unfinished tx.
The 42 round: 45 buy tx | 55 sell tx | 2 unfinished tx.
The 43 round: 47 buy tx | 54 sell tx | 1 unfinished tx.
The 44 round: 57 buy tx | 43 sell tx | 1 unfinished tx.
The 45 round: 51 buy tx | 49 sell tx | 1 unfinished tx.
The 46 round: 42 buy tx | 58 sell tx | 1 unfinished tx.
The 47 round: 49 buy tx | 51 sell tx | 1 unfinished tx.
The 48 round: 47 buy tx | 52 sell tx | 2 unfinished tx.
The 49 round: 54 buy tx | 45 sell tx | 3 unfinished tx.
The 50 round: 55 buy tx | 46 sell tx | 2 unfinished tx.
The 51 round: 53 buy tx | 47 sell tx | 2 unfinished tx.
The 52 round: 46 buy tx | 54 sell tx | 2 unfinished tx.
The 53 round: 46 buy tx | 54 sell tx | 2 unfinished tx.
The 54 round: 48 buy tx | 50 sell tx | 4 unfinished tx.
The 55 round: 54 buy tx | 48 sell tx | 2 unfinished tx.
The 56 round: 44 buy tx | 56 sell tx | 2 unfinished tx.
The 57 round: 48 buy tx | 52 sell tx | 2 unfinished tx.
The 58 round: 45 buy tx | 54 sell tx | 3 unfinished tx.
The 59 round: 51 buy tx | 49 sell tx | 3 unfinished tx.
The 60 round: 45 buy tx | 53 sell tx | 5 unfinished tx.
The 61 round: 49 buy tx | 51 sell tx | 5 unfinished tx.
The 62 round: 45 buy tx | 54 sell tx | 6 unfinished tx.
The 63 round: 52 buy tx | 48 sell tx | 6 unfinished tx.
The 64 round: 64 buy tx | 37 sell tx | 5 unfinished tx.
The 65 round: 57 buy tx | 43 sell tx | 5 unfinished tx.
The 66 round: 63 buy tx | 40 sell tx | 2 unfinished tx.
The 67 round: 42 buy tx | 56 sell tx | 4 unfinished tx.
The 68 round: 58 buy tx | 42 sell tx | 4 unfinished tx.
The 69 round: 58 buy tx | 43 sell tx | 3 unfinished tx.
The 70 round: 55 buy tx | 46 sell tx | 2 unfinished tx.
The 71 round: 45 buy tx | 55 sell tx | 2 unfinished tx.
The 72 round: 52 buy tx | 48 sell tx | 2 unfinished tx.
The 73 round: 43 buy tx | 58 sell tx | 1 unfinished tx.
The 74 round: 55 buy tx | 45 sell tx | 1 unfinished tx.
The 75 round: 46 buy tx | 54 sell tx | 1 unfinished tx.
The 76 round: 50 buy tx | 49 sell tx | 2 unfinished tx.
The 77 round: 49 buy tx | 52 sell tx | 1 unfinished tx.
The 78 round: 47 buy tx | 53 sell tx | 1 unfinished tx.
